,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
0,US_AK,5.688503264208909,8.283633352534562,98.69167866743472,7.293560387864824,-18.730177131336404,4.995631720430108
1,US_AL,-7.411508736559139,3.4671802995391703,21.779471486175115,1.06960205453149,-19.131050787250384,5.289364919354838
2,US_AR,-2.5277865783410136,3.5174395161290324,65.12802179339478,7.83792002688172,-19.15849414362519,4.699491167434716
3,US_AZ,-15.063308851766513,-7.279608294930876,-18.2842045890937,-18.286583141321046,-27.105453149001537,7.046795794930875
4,US_CA,-22.32416474654378,-8.713680875576037,-7.892972350230415,-37.125933659754224,-31.133057315668204,8.85158890168971
5,US_CO,-13.668569988479263,-2.2941076228878647,30.773363095238096,-23.77970430107527,-28.05742607526882,7.010896697388633
6,US_CT,-10.121634984639018,-3.9883016513056835,48.352030529953915,-21.006442012288787,-25.21730750768049,7.0913330453149
7,US_DE,-4.327080933179723,1.3080453149001536,26.823677515360984,-28.150280817972348,-23.967153897849464,6.813311251920123
8,US_FL,-15.754332277265746,-6.5575556835637485,-15.99017857142857,-27.381562019969277,-24.789592933947773,6.5347878264208905
9,US_GA,-10.836974366359447,-1.113522465437788,22.63769681259601,-17.61846918202765,-24.99883352534562,6.456420410906298
10,US_HI,-25.94558611751152,-13.616575460829493,-27.96563940092166,-38.76606902841782,-30.54375,9.304773905529954
11,US_IA,-0.11275441628264202,13.547220622119816,101.1671370967742,-1.392444316436252,-18.313844086021504,4.333210925499232
12,US_ID,0.875868855606759,9.329903513824885,99.71056787634409,11.214837749615976,-19.37428235407066,3.2971078149001536
13,US_IL,-13.160867895545316,-1.7557915706605223,40.49262432795699,-26.27544402841782,-26.73053235407066,6.938042434715822
14,US_IN,-5.597513440860215,-1.8942948348694315,84.32559523809523,0.5550499231950844,-21.08310051843318,4.9088853686635945
15,US_KS,-5.33182363671275,0.13966253840245763,70.7293466781874,7.267031490015361,-20.073627112135178,4.607646889400922
16,US_KY,-8.165855414746543,3.2389400921658984,71.42736415130568,-2.8382488479262675,-22.278516225038402,5.317758736559139
17,US_LA,-11.07783458141321,0.6624903993855606,-7.090046562980031,-11.639276113671276,-22.873502304147465,5.330575556835638
18,US_MA,-16.00040322580645,-8.178924251152074,34.68781442012289,-40.080892377112136,-31.15123607910906,8.800381624423963
19,US_MD,-14.874637576804915,-5.197971870199693,51.42117655529954,-34.9394033218126,-29.657322868663595,9.128036194316437
20,US_ME,3.0336669546851,11.943783602150537,113.56105510752688,4.817055491551459,-20.639727342549925,5.0224366359447
21,US_MI,-10.53707757296467,-1.7211453533026115,113.48022033410139,-15.815305779569892,-24.385452668970814,6.607685291858679
22,US_MN,-9.122326228878649,-0.18491743471582184,71.11771073348694,-25.814223310291858,-25.23238767281106,7.3270233294930875
23,US_MO,-2.7288786482334872,3.6059979838709677,60.45159850230415,-1.9009528609831028,-20.146423771121352,4.793262768817204
24,US_MS,-4.2989007296466974,0.5555707565284178,19.29663258448541,16.881187596006143,-20.07556403609831,4.731876440092166
25,US_MT,4.159058179723502,17.253033794162825,87.01236319124425,20.444273233486943,-16.645636520737327,2.9552491359447006
26,US_NC,-10.315884216589861,1.213692876344086,37.788102438556066,-18.279709101382487,-23.88195084485407,5.878931451612903
27,US_ND,-4.8186227918586795,-2.1758544546850995,65.68848406298002,-2.9228926651305684,-17.733318932411674,3.9176939324116744
28,US_NE,-2.1884216589861754,2.2491575460829494,70.32808419738863,3.368053955453149,-19.541114631336406,4.927956989247312
29,US_NH,-3.9623799923195087,4.083102918586789,94.99030097926267,-19.1635008640553,-22.870989343317973,6.733554147465438
30,US_NJ,-15.2938964093702,-1.72486079109063,60.70044882872504,-31.45383064516129,-29.93255088325653,8.83833765360983
31,US_NM,-12.8974366359447,-3.0508040514592936,13.844148425499231,-7.199613575268817,-25.539417722734253,6.711475134408602
32,US_NV,-12.982502880184331,-3.482255664362519,-11.69957517281106,-25.088001632104454,-26.376620103686637,6.8024097542242705
33,US_NY,-21.44314996159754,-6.346704589093702,22.823783122119817,-36.8990735407066,-30.510711885560674,8.221236559139784
34,US_OH,-8.376804915514592,-1.9081605222734255,89.95429867511521,-7.182462077572964,-22.518798003072195,5.624786386328725
35,US_OK,-3.9369671658986176,3.002428955453149,32.9661146313364,6.539537730414747,-19.518253168202765,5.101644105222734
36,US_OR,-11.739655337941628,-0.05167050691244231,53.36208237327189,-22.069474846390168,-27.297825460829493,6.556149193548387
37,US_PA,-11.741232238863287,-1.3389328917050691,55.396253360215056,-27.372227822580644,-25.46021025345622,6.936626344086021
38,US_RI,-10.277239343317973,-5.250717645929339,120.86278801843318,-37.45016321044547,-25.708546947004606,6.684888632872504
39,US_SC,-3.546248559907834,4.042823540706605,31.27541282642089,6.17016129032258,-20.049831989247313,5.085327860983103
40,US_SD,5.547981470814133,18.938976094470046,146.0601046466974,20.22854262672811,-14.9714357718894,3.707615687403994
41,US_TN,-5.233911770353303,3.5030601958525347,51.20052323348694,-6.861859158986175,-20.889657738095238,5.174817588325653
42,US_TX,-12.158076516897081,-3.796632584485407,-3.6603182603686637,-16.640540994623656,-25.989720142089094,7.2735743087557605
43,US_UT,-6.88721678187404,1.2350566436251922,69.96190716205837,-15.470182891705068,-26.406511616743472,5.794136424731183
44,US_VA,-12.957574884792626,-0.37658890168970816,45.62422235023041,-22.33534466205837,-27.025199212749616,7.841563460061444
